sce_id,ego_x,ego_y,ego_theta,ego_speed,obs_x,obs_y,obs_type,obs_theta,obs_length,obs_width
gen_0_sce_1,587027.3622314847,4141592.6138964407,2.8917006223350583,4.256486899256313,587023.4353630618,4141592.9110386055,3,2.890001301606251,0.3916775849979729,0.6393803086516825
gen_0_sce_2,587058.2117240799,4141590.507977943,2.8704326046270268,8.216391858664398,587054.0344676971,4141591.838754654,4,2.8675234124171007,1.8274947224561944,0.5728194288885812
gen_9_sce_11,587049.404135884,4141572.818767965,1.553636108379533,2.701457068211131e-08,587048.3957794597,4141576.6049595964,3,-0.25579033969619375,0.3416423560607158,0.47423790643455493
gen_15_sce_10,587046.9126811982,4141578.2635502005,-1.837007741772619,4.486194658655213,587051.2056474155,4141572.652461178,5,-0.24719937499823652,10.626398323317595,1.5287907224516455
gen_94_sce_7,587052.5833692387,4141589.7282228917,-1.5589862137729675,1.264713576977843e-09,587052.9165780738,4141585.698703522,3,0.8718307799630431,0.2763340389210961,0.337424984152458
gen_100_sce_7,587052.5873192784,4141589.9323358946,-1.5652302804299711,7.46631902831176e-08,587053.0635007456,4141585.873502928,3,0.8951328357555269,0.2763340389210961,0.337424984152458
gen_101_sce_7,587052.5832279787,4141590.275315065,-1.5742021141083509,1.606630872823798e-08,587053.3486081392,4141586.2302630134,3,0.8984796548481194,0.2763340389210961,0.337424984152458
gen_107_sce_7,587052.5461210824,4141589.953407568,-1.5721364107761178,3.203060918319443e-08,587053.0671169071,4141585.876420269,3,0.8948640275122586,0.2815454628220454,0.337424984152458
gen_108_sce_7,587052.5699411484,4141590.080206129,-1.5708192497231213,8.781093751886941e-05,587053.2099747651,4141586.054557116,3,0.8980922670798839,0.2815454628220454,0.337424984152458
